grid,effect,effect_size,drift,drift_rate,ab_test,ab_size,blocking,block_rate,parse_corruption,noise_sd,k,design,false_positive_rate,power_strict,power_any,misattribution_rate,abstain_rate,mechanism_accuracy,mechanism_classifiable_rate,false_positive_rate_ci95,power_strict_ci95,power_any_ci95,misattribution_rate_ci95,abstain_rate_ci95,mechanism_accuracy_ci95,mechanism_classifiable_rate_ci95,n_panels
A,discount,0.1,fast,0.05,False,0.1,none,0.0,0.0,0.005,3,D0,,0.0,0.0,0.39940000000000003,0.0,0.0,0.0,,0.0,0.0,0.00032996591875175343,0.0,0.0,0.0,200
A,discount,0.1,fast,0.05,False,0.1,none,0.0,0.0,0.005,3,D1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
A,discount,0.1,fast,0.05,False,0.1,none,0.0,0.0,0.005,3,D2,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
A,discount,0.1,fast,0.05,False,0.1,none,0.0,0.0,0.005,3,D3,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
A,discount,0.1,fast,0.05,False,0.1,none,0.0,0.0,0.005,3,D4,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
A,discount,0.1,fast,0.05,False,0.1,none,0.0,0.0,0.005,3,D5,,1.0,1.0,0.0,0.01375,1.0,0.98625,,0.0,0.0,0.0,0.0015247912782446833,0.0,0.001524791278244685,200
A,discount,0.1,fast,0.05,False,0.1,none,0.0,0.0,0.005,3,D6,,1.0,1.0,0.0,0.01375,1.0,0.98625,,0.0,0.0,0.0,0.0015247912782446833,0.0,0.001524791278244685,200
A,discount,0.1,none,0.0,False,0.1,none,0.0,0.0,0.005,3,D0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
A,discount,0.1,none,0.0,False,0.1,none,0.0,0.0,0.005,3,D1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
A,discount,0.1,none,0.0,False,0.1,none,0.0,0.0,0.005,3,D2,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
A,discount,0.1,none,0.0,False,0.1,none,0.0,0.0,0.005,3,D3,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
A,discount,0.1,none,0.0,False,0.1,none,0.0,0.0,0.005,3,D4,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200
